"","ID","name","prefix","r","g","b","alp","First.Year","Last.Year","hex","rgb","h","s","v"
"65",132,"Speckle Black-Silver","rgba","5","19","29","1",2005,2013,"#05131D","5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
"66",133,"Speckle Black-Gold","rgba","5","19","29","1",2010,2011,"#05131D","5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
"67",9,"Light Blue","rgba","180","210","227","1",1995,2007,"#B4D2E3","180,210,227",0.560283687943262,0.20704845814978,0.890196078431372
"68",43,"Trans-Very Lt Blue","rgba","193","223","240","1",2003,2006,"#C1DFF0","193,223,240",0.560283687943262,0.195833333333333,0.941176470588235
"69",313,"Maersk Blue","rgba","53","146","195","1",1974,2006,"#3592C3","53,146,195",0.557511737089202,0.728205128205128,0.764705882352941
"70",321,"Dark Azure","rgba","7","139","201","1",2011,2023,"#078BC9","7,139,201",0.553264604810997,0.965174129353234,0.788235294117647
"71",232,"Sky Blue","rgba","125","191","221","1",2003,2007,"#7DBFDD","125,191,221",0.552083333333333,0.434389140271493,0.866666666666667
"72",1074,"Duplo Blue","rgba","0","158","206","1",2003,2004,"#009ECE","0,158,206",0.538834951456311,1,0.807843137254902
"73",1051,"Pastel Blue","rgba","90","196","218","1",2005,2011,"#5AC4DA","90,196,218",0.528645833333333,0.587155963302752,0.854901960784314
"74",322,"Medium Azure","rgba","54","174","191","1",2012,2023,"#36AEBF","54,174,191",0.520681265206813,0.717277486910995,0.749019607843137
"75",11,"Light Turquoise","rgba","85","165","175","1",1998,2004,"#55A5AF","85,165,175",0.518518518518518,0.514285714285714,0.686274509803922
"76",1003,"Glitter Trans-Light Blue","rgba","104","188","197","1",2015,2022,"#68BCC5","104,188,197",0.516129032258065,0.472081218274112,0.772549019607843
"77",1053,"Trans-Blue Opal","rgba","104","188","197","1",2020,2023,"#68BCC5","104,188,197",0.516129032258065,0.472081218274112,0.772549019607843
"78",3,"Dark Turquoise","rgba","0","143","155","1",1998,2023,"#008F9B","0,143,155",0.512903225806452,1,0.607843137254902
"79",41,"Trans-Light Blue","rgba","174","239","236","1",1985,2023,"#AEEFEC","174,239,236",0.492307692307692,0.271966527196653,0.937254901960784
"80",323,"Light Aqua","rgba","173","195","192","1",2011,2023,"#ADC3C0","173,195,192",0.477272727272727,0.112820512820513,0.764705882352941
"81",118,"Aqua","rgba","179","215","209","1",1998,2022,"#B3D7D1","179,215,209",0.472222222222222,0.167441860465116,0.843137254901961
"82",288,"Dark Green","rgba","24","70","50","1",1961,2023,"#184632","24,70,50",0.427536231884058,0.657142857142857,0.274509803921569
"83",74,"Medium Green","rgba","115","220","161","1",1994,2005,"#73DCA1","115,220,161",0.406349206349206,0.477272727272727,0.862745098039216
"84",1071,"Pearl Green","rgba","0","142","60","1",2003,2006,"#008E3C","0,142,60",0.403755868544601,1,0.556862745098039
"85",378,"Sand Green","rgba","160","188","172","1",1964,2023,"#A0BCAC","160,188,172",0.404761904761905,0.148936170212766,0.737254901960784
"86",2,"Green","rgba","35","120","65","1",1949,2023,"#237841","35,120,65",0.392156862745098,0.708333333333333,0.470588235294118
"87",1058,"Trans-Light Green","rgba","148","229","171","1",2005,2006,"#94E5AB","148,229,171",0.380658436213992,0.353711790393013,0.898039215686275
"88",34,"Trans-Green","rgba","132","182","141","1",1969,2023,"#84B68D","132,182,141",0.363333333333333,0.274725274725275,0.713725490196078
"89",1060,"Trans-Green Opal","rgba","132","182","141","1",2021,2022,"#84B68D","132,182,141",0.363333333333333,0.274725274725275,0.713725490196078
"90",1077,"Fabuland Lime","rgba","120","252","120","1",1982,1986,"#78FC78","120,252,120",0.333333333333333,0.523809523809524,0.988235294117647
"91",10,"Bright Green","rgba","75","159","74","1",1949,2023,"#4B9F4A","75,159,74",0.331372549019608,0.534591194968553,0.623529411764706
"92",17,"Light Green","rgba","194","218","184","1",1992,2005,"#C2DAB8","194,218,184",0.284313725490196,0.155963302752294,0.854901960784314
"93",294,"Glow In Dark Trans","rgba","189","198","173","1",2005,2011,"#BDC6AD","189,198,173",0.226666666666667,0.126262626262626,0.776470588235294
"94",1057,"Trans-Light Bright Green","rgba","201","231","136","1",2003,2006,"#C9E788","201,231,136",0.219298245614035,0.411255411255411,0.905882352941176
"95",1086,"Pearl Lime","rgba","106","121","68","1",2001,2003,"#6A7944","106,121,68",0.213836477987421,0.43801652892562,0.474509803921569
"96",1002,"Glitter Trans-Neon Green","rgba","192","245","0","1",2015,2018,"#C0F500","192,245,0",0.202721088435374,1,0.96078431372549
